"DateTime";"Solskin"
"2020-10-01 00:00:00";1,4
"2020-10-02 00:00:00";0,4
"2020-10-03 00:00:00";0,7
"2020-10-04 00:00:00";1,8
"2020-10-05 00:00:00";2,6
"2020-10-06 00:00:00";0,8
"2020-10-07 00:00:00";1,8
"2020-10-08 00:00:00";0,8
"2020-10-09 00:00:00";3,2
"2020-10-10 00:00:00";5,8
"2020-10-11 00:00:00";4,6
"2020-10-12 00:00:00";2,8
"2020-10-13 00:00:00";4,6
"2020-10-14 00:00:00";2,5
"2020-10-15 00:00:00";1,4
"2020-10-16 00:00:00";5,6
"2020-10-17 00:00:00";6,4
"2020-10-18 00:00:00";5,4
"2020-10-19 00:00:00";6,6
"2020-10-20 00:00:00";0,1
"2020-10-21 00:00:00";0
"2020-10-22 00:00:00";1,3
"2020-10-23 00:00:00";1,8
"2020-10-24 00:00:00";3,6
"2020-10-25 00:00:00";0
"2020-10-26 00:00:00";0,2
"2020-10-27 00:00:00";1,6
"2020-10-28 00:00:00";4,8
"2020-10-29 00:00:00";3,5
"2020-10-30 00:00:00";0
"2020-10-31 00:00:00";1,9
