"DateTime";"Maks. snedybde"
"2020-11-01 00:00:00";0
"2020-11-02 00:00:00";0
"2020-11-03 00:00:00";0
"2020-11-04 00:00:00";0
"2020-11-05 00:00:00";0
"2020-11-06 00:00:00";0
"2020-11-07 00:00:00";0
"2020-11-08 00:00:00";0
"2020-11-09 00:00:00";0
"2020-11-10 00:00:00";0
"2020-11-11 00:00:00";0
"2020-11-12 00:00:00";0
"2020-11-13 00:00:00";0
"2020-11-14 00:00:00";0
"2020-11-15 00:00:00";0
"2020-11-16 00:00:00";0
"2020-11-17 00:00:00";0
"2020-11-18 00:00:00";0
"2020-11-19 00:00:00";0
"2020-11-20 00:00:00";0
"2020-11-21 00:00:00";0
"2020-11-22 00:00:00";0
"2020-11-23 00:00:00";0
"2020-11-24 00:00:00";0
"2020-11-25 00:00:00";0
"2020-11-26 00:00:00";0
"2020-11-27 00:00:00";0
"2020-11-28 00:00:00";0
"2020-11-29 00:00:00";0
"2020-11-30 00:00:00";0
