"DateTime";"Maks. snedybde"
"2020-12-01 00:00:00";0
"2020-12-02 00:00:00";0
"2020-12-03 00:00:00";0
"2020-12-04 00:00:00";0
"2020-12-05 00:00:00";0
"2020-12-06 00:00:00";0
"2020-12-07 00:00:00";0
"2020-12-08 00:00:00";0
"2020-12-09 00:00:00";0
"2020-12-10 00:00:00";0
"2020-12-11 00:00:00";0
"2020-12-12 00:00:00";0
"2020-12-13 00:00:00";0
"2020-12-14 00:00:00";0
"2020-12-15 00:00:00";0
"2020-12-16 00:00:00";0
"2020-12-17 00:00:00";0
"2020-12-18 00:00:00";0
"2020-12-19 00:00:00";0
"2020-12-20 00:00:00";0
"2020-12-21 00:00:00";0
"2020-12-22 00:00:00";0
"2020-12-23 00:00:00";0
"2020-12-24 00:00:00";0
"2020-12-25 00:00:00";0
"2020-12-26 00:00:00";0
"2020-12-27 00:00:00";0
"2020-12-28 00:00:00";0
"2020-12-29 00:00:00";0
"2020-12-30 00:00:00";0
"2020-12-31 00:00:00";0
